target	offset_start	offset_end	context	sense	comments		
capital	116	123	"The group has also shown a focus on high profile assaults in Kabul, such as the April 15 coordinated attacks in the capital and eastern Afghanistan."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	84	91	"#26-15 Västerås is in central Sweden, approximately 115 km (70 miles) west from the capital Stockholm."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	87	94	"Quito ( Spanish pronunciation : ( ˈkito ) ) , formally San Francisco de Quito , is the capital city of Ecuador , and at an elevation of 9,350 feet ( 2,800 meters above sea level ) , it is the highest official capital city in the world ."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	142	149	"The Taliban claimed responsibility for the attack which involved a car bomb and insurgents disguised as women on the eastern outskirts of the capital, killing seven people, a Gurkha guard and six passers-by, and wounding 17."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	53	60	"Thousands of security forces were out in the Russian capital and helicopters roamed the sky Wednesday, a show of force following protests over scandal-marred elections that saw Prime Minister Vladimir Putin's party struggle to keep a majority."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	53	60	"Thousands of security forces were out in the Russian capital and helicopters roamed the sky Wednesday, a show of force following two days of protest."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	231	238	"The Taliban, overthrown by U.S.-backed Afghan forces for harboring bin Laden and other militants, were quick to take credit for Wednesday's attack at Green Village, one of several compounds for Westerners on a main road out of the capital."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	157	164	"Officials and witnesses said a suicide car bomber and Taliban militants disguised in burqas attacked a compound housing hundreds of foreigners in the Afghan capital, killing seven."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	33	40	"The thousands who rallied in the capital and St Petersburg clashed with police and interior ministry troops, who later detained hundreds of protesters."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	109	116	"The Israeli official said the new ambassador to Cairo, Yaakov Amitai, was expected to travel to the Egyptian capital in December to present his credentials, but the embassy would not be staffed or resume normal activity until acceptable security arrangements were in place."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	97	104	"On Wednesday, Muscovites spotted dozens of helicopters patrolling the city — a rare sight in the capital."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	147	154	It was the second major assault in Kabul in less than three weeks and highlighted the Taliban's continued ability to strike in the heavily guarded capital even when security had been tightened for Obama's visit and Wednesday's anniversary of the killing of al-Qaida leader Osama bin Laden in neighboring Pakistan.	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	168	175	"The insurgency also claimed their spring offensive, which began two weeks ago with attacks in Kabul, would be renewed on Thursday, despite a security clamp-down in the capital."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	66	73	"With that, it was back to the sprawling U.S. air base outside the capital to underscore that last point, that he will close down the war and bring U.S. forces home."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	53	60	Thousands of security forces were out in the Russian capital and helicopters roamed the sky Wednesday in a show of force following the protests over the election that saw Prime Minister Vladimir Putin's party struggle to keep a majority.	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	66	73	"The Observatory also reported three killed in suburbs east of the capital, one of them a rebel commander."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	94	101	"Earlier this year, the government had obliged Spanish banks to find 54 billion euros of extra capital to shield against bad loans."	MONEY | Accounting ['capital']	-		
capital	57	64	"#7-11 Manas international airport is located outside the capital city of Bishkek, and has been the location of other fatal crashes."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	68	75	#8-2 32-year-old Robben joined the German side in 2009 from Spanish capital club Real Madrid.	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	55	62	"#31-2 The shrine is a popular attraction in Thailand's capital, where at least 20 people, including at least eight foreigners, are reported dead with upwards of 100 injured."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	209	216	"Quito ( Spanish pronunciation : ( ˈkito ) ) , formally San Francisco de Quito , is the capital city of Ecuador , and at an elevation of 9,350 feet ( 2,800 meters above sea level ) , it is the highest official capital city in the world ."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capital	67	74	"The Historic Centre of Quito is located in the center south of the capital on an area of 320 hectares ( 790 acres ) , and is considered one of the most important historic areas in Latin America ."	"CITY | Towns & regions: towns, cities & villages (general) ['capital']"	-		
capture	24	31	"For years he had evaded capture and was one of the world's most wanted men, but his time on the run finally ended last year when he was arrested near Belgrade.The 70 year old will be brought before the UN Yugoslav War Crimes tribunal in the Hague later this morning accused with some of the worst atrocities in Europe since World War Two."	CATCH | Capturing or taking possession of things ['capture']	-		
capture	134	141	"#11-8 ""We'd turn the laser on and they'd jump on an object, hold it with their paws and intensively bite it as if they were trying to capture and kill it,"" says lead investigator and Yale Associated Professor of Psychiatry Ivan de Araujo."	CATCH | Capturing or taking possession of things ['capture']	-		
captured	39	47	#9-11 Six of the ringleaders have been captured and sent to other facilities.	CATCH | Capturing or taking possession of things ['capture']	-		
captured	60	68	"#38-14 A video of the shooting, which appeared to have been captured from the point of view of the shooter, was posted on Bryce Williams' Twitter and Facebook pages several hours afterwards."	RECORD | Photography ['capture']	-		
Care	171	175	"#13-1 Late-night vote sets Obamacare up for filibuster-free repeal At 1:30 a.m. on Thursday morning the United States Senate voted to include the repeal of the Affordable Care Act, better known as Obamacare, as part of a budget blueprint."	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | Affordable Care Act		
Care	22	26	"#13-16 The Affordable Care Act, which is often cited as a key accomplishment of the Obama administration, has had a mixed reputation, and many conservatives believe a market-based health care system would be more flexible and efficient and less costly, and many believe that the Affordable Care Act only passed because of Obama's later discredited pledge that no one who liked their current health plan would have to switch."	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | Affordable Care Act		
Care	290	294	"#13-16 The Affordable Care Act, which is often cited as a key accomplishment of the Obama administration, has had a mixed reputation, and many conservatives believe a market-based health care system would be more flexible and efficient and less costly, and many believe that the Affordable Care Act only passed because of Obama's later discredited pledge that no one who liked their current health plan would have to switch."	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | Affordable Care Act		
care	187	191	"#13-16 The Affordable Care Act, which is often cited as a key accomplishment of the Obama administration, has had a mixed reputation, and many conservatives believe a market-based health care system would be more flexible and efficient and less costly, and many believe that the Affordable Care Act only passed because of Obama's later discredited pledge that no one who liked their current health plan would have to switch."	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | Affordable Care Act		
care	30	34	"#21-8 Placed in the intensive care unit, in December he began rehabilitation therapy."	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | intensive care unit		
care	72	76	#42-76 Insects (and animals in general) seem to be quite good at taking care of themselves.	PROTECTION | Protection and protectors ['care']	MWE | take care of		
care	328	332	"#13-3 ""We're working with legislative leaders at this very moment to begin to craft legislation that will repeal the most corrosive elements of Obamacare — the individual mandate, the taxes, the penalties — but at the same time, moving separate legislation that will allow us to introduce the kind of reforms in American health care that'll lower the cost of health insurance without growing the size of government,"" said Vice President-elect Mike Pence."	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | health care		
care	122	126	"#13-4 Democratic Senator Maria Cantwell of Washington had a different view, going so far as to call this ""stealing health care from Americans."""	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | health care		
care	60	64	#22-3 Abdul Kalam was taken to Bethany Hospital's intensive care unit and was declared dead about an hour and a half later.	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | intensive care unit		
care	69	73	#42-55 Cquote1.svg At the moment it seems that sick ants mostly take care of the problem themselves Cquote2.svg Wikinews: Where did the ants and fungus you used come from?	DEAL WITH  | Dealing with things or people	MWE | take care (of)		
care	57	61	#42-87 At the moment it seems that sick ants mostly take care of the problem themselves.	DEAL WITH  | Dealing with things or people	MWE | take care (of)		
care	113	117	"#13-7 Although president-elect Donald Trump has called for a ""repeal and replace"" plan, saying that a new health care system would be enacted ""almost simultaneously,"" many in government and the press have expressed doubts about whether this would actually happen."	PROTECTION | Medical treatment: treating & caring for people ['care']	MWE | health care system		
carriers	57	65	"The Syrian Observatory for Human Rights said three troop carriers were destroyed in the clashes that began at dawn on the outskirts of Rastan, a city located in restive Homs province."	TRANSPORT | Army & military vehicles ['carrier']	MWE | troop carriers		
carriers	12	20	"Three troop carriers were destroyed in fighting, the UK-based group said."	TRANSPORT | Army & military vehicles ['carrier']	MWE | troop carriers		
carriers	111	119	"The Syrian Observatory for Human Rights said it received ""preliminary information that three armored personnel carriers were destroyed and that at least 23 soldiers were killed."""	TRANSPORT | Army & military vehicles ['carrier']	MWE | personnel carriers		
carriers	95	103	#4-4 He was an aviator in the United States Navy and logged more than 200 landings on aircraft carriers before becoming an astronaut in 1963.	TRANSPORT | Army & military vehicles ['carrier']	MWE | aircraft carriers		
carriers	83	91	"The Britain-based monitoring group said initial reports indicated that three troop carriers were destroyed in the clashes that began at dawn on the outskirts of the rebel-held city, located in Homs province."	TRANSPORT | Army & military vehicles ['carrier']	MWE | troop carriers		
carriers	118	126	"The British-based Observatory said fighting began at dawn on Monday and that rebels destroyed three armored personnel carriers and seized two others, capturing around 15 soldiers."	TRANSPORT | Army & military vehicles ['carrier']	MWE | personnel carriers		
carriers	30	38	"The backdrop of armored troop carriers matched Obama's message of praise for U.S. forces who fought and died in Afghanistan, but it was an odd fit for what followed — a direct appeal to American optimism and self-interest in an election year."	TRANSPORT | Army & military vehicles ['carrier']	MWE | troop carriers		
casualties	9	19	#7-7 The casualties are reported to have included children.	INJURED | Death and dying ['casualty']	-		
casualties	43	53	"Inside Syria, regime forces suffered heavy casualties Monday during clashes at Rastan, a city that has been pummeled by government forces, opposition activists said."	INJURED | Death and dying ['casualty']	-		
celebrate	92	101	"#36-9 Wilson's Andretti Autosport teammate Ryan Hunter-Reay won the race, though he did not celebrate upon finding out about Wilson's accident."	ENJOY AN OCCASION | Celebrating & entertaining ['celebrate']	-		
celebrate	111	120	"#17-14 After this decision, Facebook introduced a new tool to add rainbow coloring to one's profile picture to celebrate this victory."	PRAISE | Praising and applauding ['celebrate']	-		
celebrate	124	133	"#17-15 Mark Zuckerberg posted on Facebook ""I'm so happy for all of my friends and everyone in our community who can finally celebrate their love and be recognized as equal couples under the law""."	PRAISE | Praising and applauding ['celebrate']	-		
celebrate	95	104	"#17-17 That night, the White House had the rainbow projected on the outside of the building to celebrate the decision."	PRAISE | Praising and applauding ['celebrate']	-		
cementing	146	155	"Obama earlier dropped from night skies into Kabul on a brief visit amid secrecy and tight security and signed a deal with President Hamid Karzai, cementing 10 years of U.S. aid for Afghanistan after NATO combat troops leave in 2014."	MAKE STRONGER | Becoming and making stronger ['cement']	-		
cementing	102	111	"Obama flew into Kabul in secret in the dead of night and signed the deal with President Hamid Karzai, cementing 10 years of US aid for Afghanistan after NATO combat troops leave in 2014."	MAKE STRONGER | Becoming and making stronger ['cement']	-		
Circuit	83	90	"#21-5 On October 5, 2014, at the late portion of the Japanese Grand Prix at Suzuka Circuit, Bianchi collided with a tractor crane that had been attending to the crashed car of Adrian Sutil."	TRACK | Surfaces on which sports take place ['circuit']	MWE | Grand Prix at Suzuka Circuit		
Circuit	401	408	"#21-3 News of his death was announced by his family the following morning: Cquote1.svg It is with deep sadness that the parents of Jules Bianchi, Philippe and Christine, his brother Tom and sister Mélanie, wish to make it known that Jules passed away last night at the Centre Hospitalier Universitaire (CHU) in Nice, (France) where he was admitted following the accident of 5th October 2014 at Suzuka Circuit during the Japanese Formula 1 Grand Prix."	TRACK | Surfaces on which sports take place ['circuit']	MWE | Suzuka Circuit		
Circuit	121	128	"#21-17 Lucien Bianchi, the 1968 24 Hours of Le Mans winner and Jules's great uncle, was killed in 1969 during testing at Circuit de la Sarthe, where the 24 Hours of Le Mans race is held."	TRACK | Surfaces on which sports take place ['circuit']	MWE | Circuit de la Sarthe		
Circuit	74	81	"The 2006-07 schedule was released on 7 July 2006 , with the first race at Circuit Park Zandvoort on 1 October 2006 , and the last race at Brands Hatch on 29 April 2007 ."	TRACK | Surfaces on which sports take place ['circuit']	MWE | Circuit Park Zandvoort		
civil	47	52	"#34-5 Six shells of them hit the area near KPA civil police posts 542 and 543 and other 15 shells fell near KPA civil police posts 250 and 251,"" said KCNA."	ORDINARY | Ordinary people ['civil']	MWE | civil police		
civil	112	117	"#34-5 Six shells of them hit the area near KPA civil police posts 542 and 543 and other 15 shells fell near KPA civil police posts 250 and 251,"" said KCNA."	ORDINARY | Ordinary people ['civil']	MWE | civil police		
civil	149	154	But Crocker said there would be no repeat of the 1990s when a withdrawal of Western backers in the wake of the Soviet withdrawal unleashed a vicious civil war out of which the Taliban and al Qaeda support bases arose.	ORDINARY | Ordinary people ['civil']	MWE | civil war		
civil	119	124	"U.N. Secretary General Ban Ki-moon said on Wednesday there was only a narrow window of opportunity to avert full-scale civil war in Syria, which sits at a crossroads of Middle East conflict bordering Turkey, Jordan, Israel, Iraq and Lebanon."	ORDINARY | Ordinary people ['civil']	MWE | civil war		
civil	71	76	#34-4 They perpetrated such reckless action as firing 36 shells at KPA civil police posts under the absurd pretext that the KPA fired one shell at the south side.	ORDINARY | Ordinary people ['civil']	MWE | civil police		
civil	39	44	#34-4 They perpetrated such reckless action as firing 36 shells at KPA civil police posts under the absurd pretext that the KPA fired one shell at the south side.	ORDINARY | Ordinary people ['civil']	MWE | civil war		
civil	219	224	"Koca Mi 'm âr Sinân Âğâ ( Ottoman Turkish : معمار سينان ; Modern Turkish : Mimar Sinan , pronounced ( miːˈmaːɾ siˈnan ) ) ( c. 1489\/1490 - July 17 , 1588 ) was the chief Ottoman architect ( Turkish : `` Mimar '' ) and civil engineer for sultans Suleiman the Magnificent , Selim II , and Murad III ."	ORDINARY | Ordinary people ['civil']	MWE | civil engineer		
clarity	94	101	"Luis de Guindos, Spain's economy minister, said: ""The government wants complete transparency, clarity is crucial to end any doubt about Spain's solvency."""	EASY TO UNDERSTAND | Easy to understand ['clarity']			
clarity	44	51	"The government wants complete transparency, clarity is crucial to end    any doubt about Spain's solvency, Economy Minister Luis de Guindos    told the conference."	EASY TO UNDERSTAND | Easy to understand ['clarity']	-		
commit	37	43	The deal signed with Karzai does not commit the United States to any specific troop presence or spending.	PROMISE | Making & breaking promises & commitments ['commit']	-		
commit	12	18	"It does not commit Washington to specific troop or funding levels for Afghanistan, though is meant to signal U.S. foes that despite ending the longest war in U.S. history, Washington intends to ensure Afghanistan does not revert to a haven for terror groups like al-Qaeda."	PROMISE | Making & breaking promises & commitments ['commit']	-		
commit	80	86	Goodyear said he was having a hard time trying to understand how a mother could commit such a grisly act.	CRIME | Obeying & breaking the law ['commit']	-		
common	91	97	"Earlier this month, Aquino urged the Association of Southeast Asian Nations to arrive at a common stand, even as he said the Philippines is willing to host a meeting on the matter."	SHARED | Sharing ['common']	-		
common	137	143	It had also been the latest episode in worsening relations between Egypt and Israel since the killing of six Egyptian policemen on their common border as Israel hunted militants after a deadly attack.	SHARED | Sharing ['common']	-		
common	27	33	"#35-36 ""In my judgment the common law,"" the judgement reads, ""and in particular the principles of natural justice and fairness, would in a case such as this which involves the right to life, and the right to a fair trial, as well as powerful countervailing issues of public interest, compel the court to apply the most intense level of anxious scrutiny to the facts to ensure that the accused were not prejudiced."""	PART OF MWE	MWE | common law		
common	101	107	"#16-7 The hashtag ""#BROTUS,"" a play on the acronym for President of the United States (POTUS), was a common sight on Twitter in 2016."	USUAL | Plain and ordinary ['common']	-		
common	11	17	"#42-5 This common black ant eats other insects, and also aphid honeydew."	USUAL | Plain and ordinary ['common']	-		
common	11	17	#42-56 How common are they in the wild?	USUAL | Plain and ordinary ['common']	-		
common	92	98	"In particular , it is often boiled with sugar , resulting in red bean paste ( an ) , a very common ingredient in all of these cuisines ."	USUAL | Plain and ordinary ['common']	-		
common	104	110	"At about 40 to 60 years of age , the elephant no longer has teeth and will likely die of starvation , a common cause of death ."	USUAL | Plain and ordinary ['common']	-		
common	77	83	All Angara launch vehicles have a modular design with each module based on a common Universal Rocket Module ( URM ) .	USUAL | Plain and ordinary ['common']	-		
companies	123	132	The Spanish government is expected to approve a plan on Friday to force banks to place toxic real estate assets in holding companies that would later sell them off.	BUSINESS | Enterprises ['company']	MWE | holding companies		
companies	153	162	"Reuters reported that at its weekly cabinet meeting, the government will approve a plan to force banks to park their toxic real estate assets in holding companies that would later sell them off."	BUSINESS | Enterprises ['company']	MWE | holding companies		
companies	131	140	"At its weekly cabinet meeting, the government will approve a plan to force banks to park their toxic real estate assets in holding companies that would later sell them off, a move that could deepen losses for the lenders."	BUSINESS | Enterprises ['company']	MWE | holding companies		
companies	117	126	The weekly cabinet meeting is also expected to approve a plan to force banks to put bad property loans into separate companies.	BUSINESS | Enterprises ['company']	-		
companies	76	85	"In addition to Motorola Mobility phones, the software runs handsets made by companies such as Samsung Electronics Co. (005930) and HTC Corp. (2498) As part of the approval, Google needs to ensure that Android software versions are free and open over the next five years, China’s Ministry of Commerce said in a statement on its website."	BUSINESS | Enterprises ['company']	-		
companies	66	75	"Banks will be forced to put some of their mortgages into separate companies, it was announced on Friday."	BUSINESS | Enterprises ['company']	-		
companies	205	214	"In announcing the Motorola Mobility acquisition in August, Google chief executive Larry Page said it will ""enable us to better protect Android from anti-competitive threats from Microsoft, Apple and other companies."""	BUSINESS | Enterprises ['company']	-		
companies	14	23	"#17-16 Later, companies like Google, Yahoo, Tumblr and Vine tweeted with hashtag ""#LoveWins""."	BUSINESS | Enterprises ['company']	-		
company	145	152	"The government would take control stake by converting a state-backed loan of 4.465 billion euros ($5.8 billion) into shares in the bank's parent company, and it reportedly may boost the total investment to 7-10 billion euros."	BUSINESS | Enterprises ['company']	-		
company	130	137	"Regulators in the US and elsewhere have stressed that they will be watching to make sure that the Mountain View, California-based company does not use its acquisition of Motorola Mobility to obtain unfair advantage in the market."	BUSINESS | Enterprises ['company']	-		
company	4	11	The company also confirmed it had received word from Chinese authorities of the purchase being approved.	BUSINESS | Enterprises ['company']	-		
company	144	151	"In addition to its dominant search engine, it offers a plethora of online tools and platforms including: Gmail, Maps, YouTube, and Google+, the company's extension into the social space."	BUSINESS | Enterprises ['company']	-		
company	97	104	"That period of intense regulatory scrutiny is a routine part of the purchasing process, as every company that makes more than 400 million yuan ($63 million) in China and 10 billion yuan ($1.6 billion) globally is subject to the process."	BUSINESS | Enterprises ['company']	-		
company	114	121	"The deal helps Larry Page, the Google co-founder who took over as chief executive officer last year, push the Web company to better compete with Apple’s iPhone and gain more clout for its Android software as it expands in the hardware business."	BUSINESS | Enterprises ['company']	-		
company	25	32	"#39-14 Earlier today the company's website sported an apparent anti-immigration graphic, which has since been removed."	BUSINESS | Enterprises ['company']	-		
company	27	34	"#41-19 Slovak chicken meat company Hyza, a previous owner, previously told Wikinews the lorry has changed hands several times in roughly the last year."	BUSINESS | Enterprises ['company']	-		
company	63	70	"#39-21 According to the Bild newspaper, Agrofert -- the parent company of Hyza -- said in a statement the new owners were required to do so."	BUSINESS | Enterprises ['company']	-		
company	61	68	"The original intention was to provide a home for their opera company , the English Opera Group , but the vision was soon widened to include readings of poetry , literature , drama , lectures and exhibitions of art ."	THEATRICAL GROUP | Cinema & theatre: actors & performers ['company']	-		
company	4	11	"The company also builds tools for database development and systems of middle-tier software , enterprise resource planning ( ERP ) software , customer relationship management ( CRM ) software and supply chain management ( SCM ) software ."	BUSINESS | Enterprises ['company']	-		
condition	40	49	Her 21-year-old sister is in a critical condition in hospital after the shooting at a house in William Court which is now at the centre of a major police investigation.	STATE | Disease & illness - general words ['condition']	MWE | critical condition		
condition	25	34	An official who spoke on condition of anonymity because he was not authorized to speak to the press said Yitzhak Levanon returned to Cairo Sunday through Istanbul.	AGREED LIMIT | Range and limits ['condition']	MWE | (on) condition of anonymity		
condition	22	31	The official spoke on condition of anonymity because he was not authorized to speak to the press.	AGREED LIMIT | Range and limits ['condition']	MWE | (on) condition of anonymity		
condition	71	80	Her 21-year-old sister was seriously injured and remains in a critical condition at Belfast's Royal Victoria Hospital.	STATE | Disease & illness - general words ['condition']	MWE | critical condition		
condition	52	61	Her 21-year-old sister Brenda remains in a critical condition in the Royal Victoria Hospital in Belfast.	STATE | Disease & illness - general words ['condition']	MWE | critical condition		
condition	12	21	He spoke on condition of anonymity because of a lack of authority to discuss the situation with the media.	AGREED LIMIT | Range and limits ['condition']	MWE | (on) condition of anonymity		
condition	143	152	"Hospital officials said 18 other people were hospitalized, including seven schoolchildren at a nearby school, and one person was in a critical condition."	STATE | Disease & illness - general words ['condition']	MWE | critical condition		
condition	113	122	A 21-year-old woman who was seriously injured in a shooting incident in Co Derry yesterday remains in a critical condition at Belfast's Royal Victoria Hospital.	STATE | Disease & illness - general words ['condition']	MWE | critical condition		
condition	164	173	"#38-5 Parker and Ward were killed, while the interviewee, Vicki Gardner, was transported to hospital and underwent surgery for her injuries, later listed in stable condition."	STATE | Disease & illness - general words ['condition']	MWE | stable condition		
condition	125	134	"#36-6 At 9 P.M. EST, INDYCAR released a statement, announcing that Wilson had suffered a severe head injury, was in critical condition and had fallen into a coma."	STATE | Disease & illness - general words ['condition']	MWE | critical condition		
cone	43	47	#36-16 Another had been to tether the nose cone to the car; Hunter-Reay mentioned renderings developed of a boomerang-like debris-deflector positioned in front of the driver.	SHAPE | Geometrical shapes ['cone']	MWE | nose cone		
cone	70	74	"#36-3 As Wilson approached the site of the crash, reportedly the nose cone from Karam's car that had been airborne struck Wilson in the helmet; Wilson's car steered to the left and collided with the inside SAFER barrier."	SHAPE | Geometrical shapes ['cone']	MWE | nose cone		
confirming	143	153	"Our stance since we agreed to acquire Motorola has not changed, and we look forward to closing the deal, Google spokeswoman Niki Fenwick said, confirming that the Chinese had approved the deal."	PROVE TRUE | Proving and disproving ['confirm']	-		
confirming	365	375	"Google Inc. (GOOG) won approval from Chinese regulators for its $12.5 billion purchase of Motorola Mobility Holdings Inc. (MMI), clearing a final hurdle for a deal that boosts its patents portfolio and steps up competition with Apple Inc. (AAPL) “We are pleased the deal has received approval in all jurisdictions,” Motorola Mobility said in an e-mailed statement, confirming that the deal has been approved in China."	PROVE TRUE | Proving and disproving ['confirm']	-		
confirming	174	184	"It's the fault of the politicians and those making bad lending decisions with our economy, Shrinking eurozone The developments come amid the release by the EU of new figures confirming that the eurozone will shrink 0.3 per cent in 2012."	PROVE TRUE | Proving and disproving ['confirm']	-		
confirming	368	378	"Google Inc. (GOOG) won approval from Chinese regulators for its $12.5 billion purchase of Motorola Mobility Holdings Inc. (MMI), clearing a final hurdle for a deal that boosts its patents portfolio and steps up competition with Apple Inc. “We are pleased the deal has received approval in all jurisdictions,” Motorola Mobility said in an e-mailed statement yesterday, confirming that the transaction has been approved in China."	PROVE TRUE | Proving and disproving ['confirm']	-		
considered	32	42	"#26-7 Initially, all three were considered victims, but the status of one has been changed to suspect."	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	220	230	"Mr Obama sought to portray the withdrawal as an unalloyed achievement, although it remains far from certain that the Afghan government can hold its own against the Taliban with reduced US support, or that what were once considered critical US goals in the country can still be met."	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	46	56	"As this was not always practical , the Romans considered Doncaster to be an important staging post ."	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	25	35	#26-2 The injured man is considered a suspect in the knife attack and was arrested in hospital.	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	12	22	#15-35 NATO considered these deployments a response to its own.	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	22	32	#6-8 Not everyone has considered Manning's actions to be wrong.	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	124	134	"The organic ligands often bind the metal through a heteroatom such as oxygen or nitrogen , in which case such compounds are considered coordination compounds ."	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	145	155	"In addition to the traditional metals , lanthanides , actinides , and semimetals , elements such as boron , silicon , arsenic , and selenium are considered to form organometallic compounds , e.g. organoborane compounds such as triethylborane ( Et3B ) ."	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	125	135	"The Historic Centre of Quito is located in the center south of the capital on an area of 320 hectares ( 790 acres ) , and is considered one of the most important historic areas in Latin America ."	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considered	63	73	"In the ancient Greece and Rome and the medieval world , it was considered disgraceful for a woman to go on the stage , and this belief persisted until the 17th century , when in Venice it was broken ."	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
considers	91	100	"Last year the Philippines accused Chinese vessels of intruding into other parts of what it considers Philippine territory near the South China Sea, including the Spratlys."	"OPINION | Guessing, supposing and suspecting ['consider']"	-		
contract	11	19	"#36-12 The contract had previously been for two races, but after acquiring sponsorship, the deal was increased by five events; earlier in August, Wilson recorded a best finish of second at Mid-Ohio Sports Car Course."	AGREEMENT | Business - general words ['contract']	-		
contract	70	78	On 7 May 2009 he left Hockey Club Pustertal-Val Pusteria and signed a contract with HC Eppan Pirats Internorm .	AGREEMENT | Business - general words ['contract']	-		
contract	101	109	"#8-11 In the last two months, Bayern Munich has announced Polish striker Robert Lewandowski signed a contract extension until June 2021 and French winger Franck Ribéry signed a one-year contract extension with the club."	AGREEMENT | Business - general words ['contract']	-		
contract	18	26	#8-1 Robben signs contract extension with Bayern German football club FC Bayern Munich yesterday announced Dutch winger Arjen Robben has signed a one contract extension until June 2018.	AGREEMENT | Business - general words ['contract']	-		
contract	23	31	"#8-6 After signing the contract, Robben said, ""I'm very happy that I'll be playing a further year for FC Bayern."	AGREEMENT | Business - general words ['contract']	-		
contract	38	46	"The EU expects the Spanish economy to contract by 1.8 percent this year, extending the recession till 2013 when the economy will shrink by a further 0.3 percent."	BECOME SMALLER | Becoming and making smaller or less ['contract']	-		
contract	91	99	Bernhardt was so satisfied with the success of this first poster that she began a six-year contract with Mucha .	AGREEMENT | Business - general words ['contract']	-		
contract	186	194	"#8-11 In the last two months, Bayern Munich has announced Polish striker Robert Lewandowski signed a contract extension until June 2021 and French winger Franck Ribéry signed a one-year contract extension with the club."	AGREEMENT | Business - general words ['contract']	MWE | contract extension 		
contract	150	158	#8-1 Robben signs contract extension with Bayern German football club FC Bayern Munich yesterday announced Dutch winger Arjen Robben has signed a one contract extension until June 2018.	AGREEMENT | Business - general words ['contract']	MWE | contract extension 		
contract	73	81	#8-10 The German internationals have penned a five-year and a three-year contract respectively.	AGREEMENT | Business - general words ['contract']	-		
corruption	46	56	"At the same time, the Defense Department said corruption remains widespread and violence in the southern region of Kandahar has increased."	BAD BEHAVIOUR | Fraud & corruption ['corruption']	-		
corruption	218	228	"Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has strongly overshadowed all other political forces in Russia for the past dozen years and earned a reputation for corruption."	BAD BEHAVIOUR | Fraud & corruption ['corruption']	-		
corruption	206	216	"Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has dominated all other political forces in Russia for the past dozen years and earned a reputation for corruption."	BAD BEHAVIOUR | Fraud & corruption ['corruption']	-		
corruption	33	43	He also dismissed allegations of corruption among his United Russia party members.	BAD BEHAVIOUR | Fraud & corruption ['corruption']	-		
corruption	61	71	"#37-2 President Molina, pictured here in 2013, is accused of corruption."	BAD BEHAVIOUR | Fraud & corruption ['corruption']	-		
corruption	204	214	"Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has dominated all other political forces in the country for a dozen years and earned a reputation for corruption."	BAD BEHAVIOUR | Fraud & corruption ['corruption']	-		
